firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
611bf43cba614e83a5f8736612967ffb,UEF6,UBS,2024-10-31,Bonds
6158212a16cf47599467bbacaa5252f3,VCDE,Vanguard,2024-07-31,Bonds
61a7e9aeaa8c4ab9b712b94eff60e384,UEQV,UBS,2024-10-31,Commodities & Metals
61a8000fa1ba4d438187afeaa0378eae,H4ZT,HSBC,2024-12-11,Equities (Stocks)
61c187f3ad05491aa8f6360d84422807,4UBI,UBS,2024-10-31,Equities (Stocks)
6262ca894664464a98c930076e61eb9c,BCFD,UBS,2024-10-31,Equities (Stocks)
62c6274c360a4a55a5575ca18cb4fffd,3XFE,Leverage Shares,2024-12-06,Equities (Stocks)
630351188f144d90a649d5aa50a87a0f,VGWL,Vanguard,2024-07-31,Equities (Stocks)
6337be43192544c3bbc2fdbf52c95eab,UIQN,UBS,2024-10-31,Equities (Stocks)
636617dd3bfd4890b22c9199de4e6cff,TIP5,Leverage Shares,2024-12-06,Bonds
63c2649206e841f6957ea1a2fc2443a8,HGGA,HSBC,2024-12-11,Bonds
642f5cb4aae8440fb1de96c4ca14bcf8,21XH,21Shares,2024-11-27,Other Asset Types
654c3f1c88ef4f26932d41ee81a70b67,CSY2,UBS,2024-10-31,Equities (Stocks)
66b263656a3c4209b2fdbadf14174ebb,VWCE,Vanguard,2024-07-31,Equities (Stocks)
5df12aea3f82474f978412ba8a755bf7,MESR,UBS,2024-10-31,Equities (Stocks)
5e0dda2dc85c4fefabb9bcdeeeafaffa,APLS,Leverage Shares,2024-12-06,Equities (Stocks)
5e919b2d0b53404187326f1633f97023,UC94,UBS,2024-10-31,Equities (Stocks)
5ea4ad63628843199d302382f3a8f635,SAPL,Leverage Shares,2024-12-06,Equities (Stocks)
5ea8c5c596a14bda83b0243b8359adda,5IEF,Leverage Shares,2024-12-06,Bonds
5f05647395084e29bf868b1b3cc3295b,IEF5,Leverage Shares,2024-12-06,Bonds
5f0b0a23b9d64213b9146fd04e32fadd,VDTY,Vanguard,2024-07-31,Bonds
5f17941b80164e369d278e2538104c42,SJAP,Leverage Shares,2024-12-06,Equities (Stocks)
5f30f20d4a5b4414928c0fcdecd8527d,WSDG,Wisdom Tree,2024-09-30,Equities (Stocks)
5f4593026fda4dc294c6a657cb7d0b25,VUAG,Vanguard,2024-07-31,Equities (Stocks)
5f660e78d4574c99af6367f94ba4ee1d,HMXA,HSBC,2024-12-11,Equities (Stocks)
5fdf821e81144154b76993efca8a46b9,DGRP,Wisdom Tree,2024-09-30,Equities (Stocks)
5fe61499861648399c766cd3d05e230f,HSJS,HSBC,2024-12-11,Equities (Stocks)
60aedb981bab491885b48c45ba4ed828,VUTY,Vanguard,2024-07-31,Bonds
60cde653bb724c74a63e2a2a1d28bb10,PEX,UBS,2024-10-31,Equities (Stocks)
60d998e3f5b34ea4a2d2f571d1d80daf,WRDA,UBS,2024-10-31,Equities (Stocks)
614422b8e96c4ee582afe2cae8aea89c,JPN3,Leverage Shares,2024-12-06,Equities (Stocks)
614c6738571f408880a6a9a404316255,UB0A,UBS,2024-10-31,Equities (Stocks)
61725958331f470c8d5c803bc4507c53,HPJS,HSBC,2024-12-11,Equities (Stocks)
61ed428d3ad34b37a6a278382a750e4e,VETA,Vanguard,2024-07-31,Bonds
6219e86b31ff40cf91a0fc7ead4bee90,3BID,Leverage Shares,2024-12-06,Equities (Stocks)
625bacb2aaa54c028d4b2e408fc6975a,SJD,Leverage Shares,2024-12-06,Equities (Stocks)
628478286e1d4004ac04f6ac9f1a93d2,UD06,UBS,2024-10-31,Commodities & Metals
62f5e7135ddd4c1bb33a0a66dff6c270,1AMZ,Leverage Shares,2024-12-06,Equities (Stocks)
63349bb767274130a908930977550f58,AIS3,Leverage Shares,2024-12-06,Equities (Stocks)
